Item Name
Penne Arraibiata
Double Baked Macaroni
Al Forno Pink Penne
Penne Basil Pesto Pasta
Penne Amerillo Sauce Pasta
One Pot Fajita Penne Pasta
Aglio Olio Peperoncino Spaghetti
Ravioli Pasta
Popo's Veggie Delight Pizza
Popo's Veggie Delight Pizza
Chilli Pomodoro Pizza
Chilli Pomodoro Pizza
Truffle Funghi Misti Pizza
Truffle Funghi Misti Pizza
Diavola Veg Pizza
Diavola Veg Pizza
Punchy Paneer Pizza
Punchy Paneer Pizza
Italian Margherita Pizza
Italian Margherita Pizza
Pizza Verde
Pizza Verde
Quattro Stagioni Pizza
